,0,1
313,159,300
314,159,423
315,159,426
316,160,292
317,160,298
318,160,299
319,160,423
320,160,426
321,161,291
322,161,297
323,161,423
324,161,426
325,162,289
326,162,290
327,162,295
328,162,296
329,162,423
330,162,426
331,163,288
332,163,289
333,163,294
334,163,295
335,163,423
336,163,426
337,164,287
338,164,293
339,164,423
340,164,426
341,165,286
342,165,292
343,165,423
344,165,426
345,166,285
346,166,290
347,166,291
348,166,422
349,166,426
350,167,285
351,167,289
352,167,290
353,167,422
354,167,426
355,168,284
356,168,288
357,168,289
358,168,422
359,168,426
360,169,283
361,169,288
362,169,422
363,169,426
364,170,282
365,170,287
366,170,422
367,170,426
368,171,281
369,171,286
370,171,287
371,171,421
372,171,425
373,172,280
374,172,285
375,172,286
376,172,421
377,172,425
378,173,279
379,173,285
380,173,421
381,173,425
382,174,278
383,174,283
384,174,284
385,174,421
386,174,425
387,175,277
388,175,278
389,175,282
390,175,283
391,175,420
392,175,424
393,176,277
394,176,420
395,176,424
396,177,276
397,177,281
398,177,420
399,177,424
400,178,276
401,178,280
402,178,420
403,178,423
404,178,424
405,179,275
406,179,280
407,179,419
408,179,423
409,180,279
410,180,419
411,180,423
412,181,274
413,181,419
414,181,423
415,182,273
416,182,278
417,182,418
418,182,419
419,182,422
420,182,423
421,183,273
422,183,277
423,183,418
424,183,422
425,184,273
426,184,277
427,184,418
428,184,422
429,185,272
430,185,276
431,185,417
432,185,421
433,185,422
434,186,271
435,186,272
436,186,276
437,186,417
438,186,421
439,187,271
440,187,275
441,187,276
442,187,416
443,187,417
444,187,421
445,188,270
446,188,275
447,188,416
448,188,420
449,189,270
450,189,274
451,189,416
452,189,420
453,190,269
454,190,274
455,190,415
456,190,419
457,190,420
458,191,269
459,191,273
460,191,415
461,191,419
462,192,268
463,192,272
464,192,415
465,192,419
466,193,268
467,193,272
468,193,414
469,193,418
470,194,268
471,194,272
472,194,414
473,194,418
474,195,267
475,195,271
476,195,414
477,195,418
478,196,267
479,196,271
480,196,413
481,196,417
482,197,267
483,197,271
484,197,413
485,197,417
486,198,267
487,198,271
488,198,413
489,198,417
490,199,267
491,199,270
492,199,412
493,199,416
494,200,267
495,200,270
496,200,412
497,200,416
498,201,266
499,201,270
500,201,411
501,201,415
502,201,416
503,202,266
504,202,270
505,202,411
506,202,415
507,203,266
508,203,270
509,203,410
510,203,415
511,204,266
512,204,270
513,204,410
514,204,414
515,205,266
516,205,270
517,205,409
518,205,410
519,205,414
520,206,266
521,206,270
522,206,409
523,206,413
524,207,266
525,207,270
526,207,409
527,207,413
528,208,266
529,208,270
530,208,408
531,208,412
532,209,266
533,209,270
534,209,408
535,209,412
536,210,266
537,210,270
538,210,407
539,210,408
540,210,412
541,211,266
542,211,270
543,211,407
544,211,411
545,212,266
546,212,270
547,212,407
548,212,411
549,213,266
550,213,270
551,213,406
552,213,410
553,214,266
554,214,270
555,214,406
556,214,410
557,215,266
558,215,270
559,215,405
560,215,406
561,215,410
562,216,267
563,216,271
564,216,405
565,216,409
566,217,267
567,217,271
568,217,405
569,217,409
570,218,267
571,218,271
572,218,404
573,218,408
574,218,409
575,219,267
576,219,271
577,219,404
578,219,408
579,220,268
580,220,271
581,220,403
582,220,404
583,220,408
584,221,268
585,221,271
586,221,403
587,221,407
588,222,268
589,222,271
590,222,402
591,222,403
592,222,407
593,223,268
594,223,271
595,223,402
596,223,406
597,224,268
598,224,272
599,224,401
600,224,406
601,225,268
602,225,272
603,225,401
604,225,405
605,226,268
606,226,272
607,226,400
608,226,401
609,226,405
610,227,268
611,227,272
612,227,400
613,227,404
614,228,268
615,228,269
616,228,273
617,228,399
618,228,404
619,229,269
620,229,273
621,229,399
622,229,403
623,230,269
624,230,273
625,230,398
626,230,403
627,231,270
628,231,274
629,231,397
630,231,398
631,231,402
632,232,270
633,232,274
634,232,397
635,232,401
636,233,270
637,233,275
638,233,396
639,233,401
640,234,271
641,234,275
642,234,276
643,234,395
644,234,396
645,234,400
646,235,271
647,235,272
648,235,276
649,235,277
650,235,395
651,235,400
652,236,272
653,236,277
654,236,394
655,236,399
656,237,273
657,237,277
658,237,393
659,237,398
660,238,274
661,238,278
662,238,392
663,238,397
664,238,398
665,239,274
666,239,275
667,239,279
668,239,391
669,239,397
670,240,275
671,240,280
672,240,390
673,240,396
674,241,276
675,241,389
676,241,395
677,242,276
678,242,277
679,242,281
680,242,388
681,242,389
682,242,394
683,243,277
684,243,278
685,243,282
686,243,387
687,243,388
688,243,393
689,244,278
690,244,282
691,244,283
692,244,387
693,244,392
694,245,279
695,245,283
696,245,386
697,245,391
698,246,280
699,246,284
700,246,285
701,246,385
702,246,390
703,247,280
704,247,286
705,247,384
706,247,389
707,248,281
708,248,287
709,248,383
710,248,388
711,249,282
712,249,288
713,249,382
714,249,387
715,250,283
716,250,284
717,250,289
718,250,381
719,250,386
720,251,284
721,251,285
722,251,290
723,251,380
724,251,385
725,251,386
726,252,285
